,Date Time,Open,High,Low,Close,Volume
0,2020-05-29 01:55:00,9444.14,9444.14,9444.14,9444.14,0.013947020000000001
1,2020-05-29 01:56:00,9444.15,9444.15,9444.15,9444.15,0.03498281
2,2020-05-29 01:57:00,9444.15,9444.15,9444.15,9444.15,0.01
3,2020-05-29 01:59:00,9427.31,9427.31,9427.31,9427.31,0.01
4,2020-05-29 02:00:00,9426.42,9426.42,9426.42,9426.42,0.01
5,2020-05-29 02:01:00,9426.42,9426.42,9426.42,9426.42,0.01
6,2020-05-29 02:02:00,9427.12,9427.12,9427.12,9427.12,0.02
7,2020-05-29 02:03:00,9425.73,9425.73,9425.73,9425.73,0.01
8,2020-05-29 02:04:00,9421.87,9421.87,9421.74,9421.74,0.02
9,2020-05-29 02:05:00,9422.02,9422.02,9422.02,9422.02,0.01
10,2020-05-29 02:06:00,9419.73,9419.73,9419.73,9419.73,0.01
11,2020-05-29 02:08:00,9419.45,9419.45,9419.45,9419.45,0.01
12,2020-05-29 02:10:00,9417.31,9417.31,9397.39,9417.31,0.40071314
13,2020-05-29 02:11:00,9413.98,9413.98,9413.98,9413.98,0.01
14,2020-05-29 02:12:00,9414.87,9414.87,9414.87,9414.87,0.01
15,2020-05-29 02:16:00,9423.24,9423.24,9423.24,9423.24,0.01
16,2020-05-29 02:17:00,9425.76,9425.76,9425.76,9425.76,0.01
17,2020-05-29 02:18:00,9425.79,9434.8,9425.79,9434.8,0.05392168
18,2020-05-29 02:19:00,9432.0,9432.0,9432.0,9432.0,0.01
19,2020-05-29 02:21:00,9434.8,9434.8,9434.8,9434.8,0.03214293
20,2020-05-29 02:22:00,9434.8,9434.8,9434.8,9434.8,0.00502758
21,2020-05-29 02:23:00,9434.8,9434.8,9434.8,9434.8,0.0252409
22,2020-05-29 02:26:00,9433.62,9433.62,9433.62,9433.62,0.01
23,2020-05-29 02:28:00,9434.8,9442.8,9434.79,9442.8,0.08109014
24,2020-05-29 02:30:00,9442.02,9443.26,9442.02,9443.26,0.0934
25,2020-05-29 02:31:00,9443.26,9443.26,9443.26,9443.26,0.01
26,2020-05-29 02:32:00,9444.3,9444.3,9444.3,9444.3,0.00546526
27,2020-05-29 02:33:00,9444.3,9444.3,9444.3,9444.3,0.00372257
28,2020-05-29 02:34:00,9444.3,9444.3,9444.3,9444.3,0.00792046
29,2020-05-29 02:43:00,9444.3,9444.3,9444.3,9444.3,0.01054807
30,2020-05-29 02:44:00,9437.16,9437.16,9437.16,9437.16,0.01
31,2020-05-29 02:45:00,9437.16,9437.16,9437.16,9437.16,0.02
32,2020-05-29 02:46:00,9444.3,9462.24,9444.3,9462.24,2.93767754
33,2020-05-29 02:47:00,9457.29,9457.29,9457.29,9457.29,0.01
34,2020-05-29 02:48:00,9448.17,9448.17,9448.17,9448.17,0.01
35,2020-05-29 02:50:00,9438.98,9438.98,9422.8,9422.8,0.26376778
36,2020-05-29 02:51:00,9427.89,9427.89,9427.89,9427.89,0.00372045
37,2020-05-29 02:53:00,9428.44,9428.44,9428.44,9428.44,0.01
38,2020-05-29 02:54:00,9428.44,9428.44,9425.85,9425.85,0.02
39,2020-05-29 02:55:00,9425.85,9425.85,9425.85,9425.85,0.01
40,2020-05-29 02:56:00,9426.85,9426.85,9426.85,9426.85,0.01
41,2020-05-29 02:57:00,9428.64,9443.6,9428.64,9443.6,0.01502345
42,2020-05-29 02:58:00,9428.79,9428.79,9428.79,9428.79,0.01
43,2020-05-29 03:00:00,9421.39,9421.39,9421.39,9421.39,0.00608046
44,2020-05-29 03:01:00,9413.14,9413.14,9413.14,9413.14,0.01
45,2020-05-29 03:02:00,9420.22,9420.22,9420.22,9420.22,0.01266179
46,2020-05-29 03:05:00,9422.82,9422.82,9422.82,9422.82,0.02961364
47,2020-05-29 03:06:00,9419.7,9419.7,9412.86,9412.86,0.02
48,2020-05-29 03:07:00,9412.86,9412.86,9412.86,9412.86,0.03503028
49,2020-05-29 03:08:00,9415.68,9415.68,9390.6,9390.6,0.09049378999999999
50,2020-05-29 03:09:00,9400.27,9400.27,9400.27,9400.27,0.05573843
51,2020-05-29 03:10:00,9403.77,9403.77,9403.77,9403.77,0.02298633
